make,fuel-type,num-of-doors,body-style,engine-location,length,width,height,num-of-cylinders,horsepower,peak-rpm,city-mpg,highway-mpg,price
alfa-romero,gas,two,convertible,front,168.8,64.1,48.8,four,111,5000,21,27,13495
alfa-romero,gas,two,convertible,front,168.8,64.1,48.8,four,111,5000,21,27,16500
alfa-romero,gas,two,hatchback,front,171.2,65.5,52.4,six,154,5000,19,26,16500
audi,gas,four,sedan,front,176.6,66.2,54.3,four,102,5500,24,30,13950
audi,gas,four,sedan,front,176.6,66.4,54.3,five,115,5500,18,22,17450
audi,gas,two,sedan,front,177.3,66.3,53.1,five,110,5500,19,25,15250
audi,gas,four,sedan,front,192.7,71.4,55.7,five,110,5500,19,25,17710
audi,gas,four,wagon,front,192.7,71.4,55.7,five,110,5500,19,25,18920
audi,gas,four,sedan,front,192.7,71.4,55.9,five,140,5500,17,20,23875
bmw,gas,two,sedan,front,176.8,64.8,54.3,four,101,5800,23,29,16430
bmw,gas,four,sedan,front,176.8,64.8,54.3,four,101,5800,23,29,16925
bmw,gas,two,sedan,front,176.8,64.8,54.3,six,121,4250,21,28,20970
bmw,gas,four,sedan,front,176.8,64.8,54.3,six,121,4250,21,28,21105
bmw,gas,four,sedan,front,189.0,66.9,55.7,six,121,4250,20,25,24565
bmw,gas,four,sedan,front,189.0,66.9,55.7,six,182,5400,16,22,30760
bmw,gas,two,sedan,front,193.8,67.9,53.7,six,182,5400,16,22,41315
bmw,gas,four,sedan,front,197.0,70.9,56.3,six,182,5400,15,20,36880
chevrolet,gas,two,hatchback,front,141.1,60.3,53.2,three,48,5100,47,53,5151
chevrolet,gas,two,hatchback,front,155.9,63.6,52.0,four,70,5400,38,43,6295
chevrolet,gas,four,sedan,front,158.8,63.6,52.0,four,70,5400,38,43,6575
dodge,gas,two,hatchback,front,157.3,63.8,50.8,four,68,5500,37,41,5572
dodge,gas,two,hatchback,front,157.3,63.8,50.8,four,68,5500,31,38,6377
dodge,gas,two,hatchback,front,157.3,63.8,50.8,four,102,5500,24,30,7957
dodge,gas,four,hatchback,front,157.3,63.8,50.6,four,68,5500,31,38,6229
dodge,gas,four,sedan,front,157.3,63.8,50.6,four,68,5500,31,38,6692
dodge,gas,four,sedan,front,157.3,63.8,50.6,four,68,5500,31,38,7609
dodge,gas,?,sedan,front,157.3,63.8,50.6,four,102,5500,24,30,8558
dodge,gas,four,wagon,front,174.6,64.6,59.8,four,88,5000,24,30,8921
dodge,gas,two,hatchback,front,173.2,66.3,50.2,four,145,5000,19,24,12964
honda,gas,two,hatchback,front,144.6,63.9,50.8,four,58,4800,49,54,6479
honda,gas,two,hatchback,front,144.6,63.9,50.8,four,76,6000,31,38,6855
honda,gas,two,hatchback,front,150.0,64.0,52.6,four,60,5500,38,42,5399
honda,gas,two,hatchback,front,150.0,64.0,52.6,four,76,6000,30,34,6529
honda,gas,two,hatchback,front,150.0,64.0,52.6,four,76,6000,30,34,7129
honda,gas,four,sedan,front,163.4,64.0,54.5,four,76,6000,30,34,7295
honda,gas,four,wagon,front,157.1,63.9,58.3,four,76,6000,30,34,7295
honda,gas,two,hatchback,front,167.5,65.2,53.3,four,86,5800,27,33,7895
honda,gas,two,hatchback,front,167.5,65.2,53.3,four,86,5800,27,33,9095
honda,gas,four,sedan,front,175.4,65.2,54.1,four,86,5800,27,33,8845
honda,gas,four,sedan,front,175.4,62.5,54.1,four,86,5800,27,33,10295
honda,gas,four,sedan,front,175.4,65.2,54.1,four,101,5800,24,28,12945
honda,gas,two,sedan,front,169.1,66.0,51.0,four,100,5500,25,31,10345
isuzu,gas,four,sedan,front,170.7,61.8,53.5,four,78,4800,24,29,6785
isuzu,gas,two,hatchback,front,172.6,65.2,51.4,four,90,5000,24,29,11048
jaguar,gas,four,sedan,front,199.6,69.6,52.8,six,176,4750,15,19,32250
jaguar,gas,four,sedan,front,199.6,69.6,52.8,six,176,4750,15,19,35550
jaguar,gas,two,sedan,front,191.7,70.6,47.8,twelve,262,5000,13,17,36000
mazda,gas,two,hatchback,front,159.1,64.2,54.1,four,68,5000,30,31,5195
mazda,gas,two,hatchback,front,159.1,64.2,54.1,four,68,5000,31,38,6095
mazda,gas,two,hatchback,front,159.1,64.2,54.1,four,68,5000,31,38,6795
mazda,gas,four,sedan,front,166.8,64.2,54.1,four,68,5000,31,38,6695
mazda,gas,four,sedan,front,166.8,64.2,54.1,four,68,5000,31,38,7395
mazda,gas,two,hatchback,front,169.0,65.7,49.6,two,101,6000,17,23,10945
mazda,gas,two,hatchback,front,169.0,65.7,49.6,two,101,6000,17,23,11845
mazda,gas,two,hatchback,front,169.0,65.7,49.6,two,101,6000,17,23,13645
mazda,gas,two,hatchback,front,169.0,65.7,49.6,two,135,6000,16,23,15645
mazda,gas,two,hatchback,front,177.8,66.5,53.7,four,84,4800,26,32,8845
mazda,gas,four,sedan,front,177.8,66.5,55.5,four,84,4800,26,32,8495
mazda,gas,two,hatchback,front,177.8,66.5,53.7,four,84,4800,26,32,10595
mazda,gas,four,sedan,front,177.8,66.5,55.5,four,84,4800,26,32,10245
mazda,diesel,?,sedan,front,177.8,66.5,55.5,four,64,4650,36,42,10795
mazda,gas,four,hatchback,front,177.8,66.5,55.5,four,84,4800,26,32,11245
mazda,gas,four,sedan,front,175.0,66.1,54.4,four,120,5000,19,27,18280
mazda,diesel,four,sedan,front,175.0,66.1,54.4,four,72,4200,31,39,18344
mercedes-benz,diesel,four,sedan,front,190.9,70.3,56.5,five,123,4350,22,25,25552
mercedes-benz,diesel,four,wagon,front,190.9,70.3,58.7,five,123,4350,22,25,28248
mercedes-benz,diesel,two,hardtop,front,187.5,70.3,54.9,five,123,4350,22,25,28176
mercedes-benz,diesel,four,sedan,front,202.6,71.7,56.3,five,123,4350,22,25,31600
mercedes-benz,gas,four,sedan,front,202.6,71.7,56.5,eight,155,4750,16,18,34184
mercedes-benz,gas,two,convertible,front,180.3,70.5,50.8,eight,155,4750,16,18,35056
mercedes-benz,gas,four,sedan,front,208.1,71.7,56.7,eight,184,4500,14,16,40960
mercedes-benz,gas,two,hardtop,front,199.2,72.0,55.4,eight,184,4500,14,16,45400
mercury,gas,two,hatchback,front,178.4,68.0,54.8,four,175,5000,19,24,16503
mitsubishi,gas,two,hatchback,front,157.3,64.4,50.8,four,68,5500,37,41,5389
mitsubishi,gas,two,hatchback,front,157.3,64.4,50.8,four,68,5500,31,38,6189
mitsubishi,gas,two,hatchback,front,157.3,64.4,50.8,four,68,5500,31,38,6669
mitsubishi,gas,two,hatchback,front,157.3,63.8,50.8,four,102,5500,24,30,7689
mitsubishi,gas,two,hatchback,front,173.0,65.4,49.4,four,116,5500,23,30,9959
mitsubishi,gas,two,hatchback,front,173.0,65.4,49.4,four,88,5000,25,32,8499
mitsubishi,gas,two,hatchback,front,173.2,66.3,50.2,four,145,5000,19,24,12629
mitsubishi,gas,two,hatchback,front,173.2,66.3,50.2,four,145,5000,19,24,14869
mitsubishi,gas,two,hatchback,front,173.2,66.3,50.2,four,145,5000,19,24,14489
mitsubishi,gas,four,sedan,front,172.4,65.4,51.6,four,88,5000,25,32,6989
mitsubishi,gas,four,sedan,front,172.4,65.4,51.6,four,88,5000,25,32,8189
mitsubishi,gas,four,sedan,front,172.4,65.4,51.6,four,116,5500,23,30,9279
mitsubishi,gas,four,sedan,front,172.4,65.4,51.6,four,116,5500,23,30,9279
nissan,gas,two,sedan,front,165.3,63.8,54.5,four,69,5200,31,37,5499
nissan,diesel,two,sedan,front,165.3,63.8,54.5,four,55,4800,45,50,7099
nissan,gas,two,sedan,front,165.3,63.8,54.5,four,69,5200,31,37,6649
nissan,gas,four,sedan,front,165.3,63.8,54.5,four,69,5200,31,37,6849
nissan,gas,four,wagon,front,170.2,63.8,53.5,four,69,5200,31,37,7349
nissan,gas,two,sedan,front,165.3,63.8,54.5,four,69,5200,31,37,7299
nissan,gas,two,hatchback,front,165.6,63.8,53.3,four,69,5200,31,37,7799
nissan,gas,four,sedan,front,165.3,63.8,54.5,four,69,5200,31,37,7499
nissan,gas,four,wagon,front,170.2,63.8,53.5,four,69,5200,31,37,7999
nissan,gas,two,hardtop,front,162.4,63.8,53.3,four,69,5200,31,37,8249
nissan,gas,four,hatchback,front,173.4,65.2,54.7,four,97,5200,27,34,8949
nissan,gas,four,sedan,front,173.4,65.2,54.7,four,97,5200,27,34,9549
nissan,gas,four,sedan,front,181.7,66.5,55.1,six,152,5200,17,22,13499
nissan,gas,four,wagon,front,184.6,66.5,56.1,six,152,5200,17,22,14399
nissan,gas,four,sedan,front,184.6,66.5,55.1,six,152,5200,19,25,13499
nissan,gas,two,hatchback,front,170.7,67.9,49.7,six,160,5200,19,25,17199
nissan,gas,two,hatchback,front,170.7,67.9,49.7,six,200,5200,17,23,19699
nissan,gas,two,hatchback,front,178.5,67.9,49.7,six,160,5200,19,25,18399
peugot,gas,four,sedan,front,186.7,68.4,56.7,four,97,5000,19,24,11900
peugot,diesel,four,sedan,front,186.7,68.4,56.7,four,95,4150,28,33,13200
peugot,gas,four,wagon,front,198.9,68.4,58.7,four,97,5000,19,24,12440
peugot,diesel,four,wagon,front,198.9,68.4,58.7,four,95,4150,25,25,13860
peugot,gas,four,sedan,front,186.7,68.4,56.7,four,95,5000,19,24,15580
peugot,diesel,four,sedan,front,186.7,68.4,56.7,four,95,4150,28,33,16900
peugot,gas,four,wagon,front,198.9,68.4,56.7,four,95,5000,19,24,16695
peugot,diesel,four,wagon,front,198.9,68.4,58.7,four,95,4150,25,25,17075
peugot,gas,four,sedan,front,186.7,68.4,56.7,four,97,5000,19,24,16630
peugot,diesel,four,sedan,front,186.7,68.4,56.7,four,95,4150,28,33,17950
peugot,gas,four,sedan,front,186.7,68.3,56.0,four,142,5600,18,24,18150
plymouth,gas,two,hatchback,front,157.3,63.8,50.8,four,68,5500,37,41,5572
plymouth,gas,two,hatchback,front,157.3,63.8,50.8,four,102,5500,24,30,7957
plymouth,gas,four,hatchback,front,157.3,63.8,50.6,four,68,5500,31,38,6229
plymouth,gas,four,sedan,front,167.3,63.8,50.8,four,68,5500,31,38,6692
plymouth,gas,four,sedan,front,167.3,63.8,50.8,four,68,5500,31,38,7609
plymouth,gas,four,wagon,front,174.6,64.6,59.8,four,88,5000,24,30,8921
plymouth,gas,two,hatchback,front,173.2,66.3,50.2,four,145,5000,19,24,12764
porsche,gas,two,hatchback,front,168.9,68.3,50.2,four,143,5500,19,27,22018
porsche,gas,two,hardtop,rear,168.9,65.0,51.6,six,207,5900,17,25,32528
porsche,gas,two,hardtop,rear,168.9,65.0,51.6,six,207,5900,17,25,34028
porsche,gas,two,convertible,rear,168.9,65.0,51.6,six,207,5900,17,25,37028
renault,gas,four,wagon,front,181.5,66.5,55.2,four,?,?,23,31,9295
renault,gas,two,hatchback,front,176.8,66.6,50.5,four,?,?,23,31,9895
saab,gas,two,hatchback,front,186.6,66.5,56.1,four,110,5250,21,28,11850
saab,gas,four,sedan,front,186.6,66.5,56.1,four,110,5250,21,28,12170
saab,gas,two,hatchback,front,186.6,66.5,56.1,four,110,5250,21,28,15040
saab,gas,four,sedan,front,186.6,66.5,56.1,four,110,5250,21,28,15510
saab,gas,two,hatchback,front,186.6,66.5,56.1,four,160,5500,19,26,18150
saab,gas,four,sedan,front,186.6,66.5,56.1,four,160,5500,19,26,18620
subaru,gas,two,hatchback,front,156.9,63.4,53.7,four,69,4900,31,36,5118
subaru,gas,two,hatchback,front,157.9,63.6,53.7,four,73,4400,26,31,7053
subaru,gas,two,hatchback,front,157.3,63.8,55.7,four,73,4400,26,31,7603
subaru,gas,four,sedan,front,172.0,65.4,52.5,four,82,4800,32,37,7126
subaru,gas,four,sedan,front,172.0,65.4,52.5,four,82,4400,28,33,7775
subaru,gas,four,sedan,front,172.0,65.4,52.5,four,94,5200,26,32,9960
subaru,gas,four,sedan,front,172.0,65.4,54.3,four,82,4800,24,25,9233
subaru,gas,four,sedan,front,172.0,65.4,54.3,four,111,4800,24,29,11259
subaru,gas,four,wagon,front,173.5,65.4,53.0,four,82,4800,28,32,7463
subaru,gas,four,wagon,front,173.5,65.4,53.0,four,94,5200,25,31,10198
subaru,gas,four,wagon,front,173.6,65.4,54.9,four,82,4800,23,29,8013
subaru,gas,four,wagon,front,173.6,65.4,54.9,four,111,4800,23,23,11694
toyota,gas,two,hatchback,front,158.7,63.6,54.5,four,62,4800,35,39,5348
toyota,gas,two,hatchback,front,158.7,63.6,54.5,four,62,4800,31,38,6338
toyota,gas,four,hatchback,front,158.7,63.6,54.5,four,62,4800,31,38,6488
toyota,gas,four,wagon,front,169.7,63.6,59.1,four,62,4800,31,37,6918
toyota,gas,four,wagon,front,169.7,63.6,59.1,four,62,4800,27,32,7898
toyota,gas,four,wagon,front,169.7,63.6,59.1,four,62,4800,27,32,8778
toyota,gas,four,sedan,front,166.3,64.4,53.0,four,70,4800,30,37,6938
toyota,gas,four,hatchback,front,166.3,64.4,52.8,four,70,4800,30,37,7198
toyota,diesel,four,sedan,front,166.3,64.4,53.0,four,56,4500,34,36,7898
toyota,diesel,four,hatchback,front,166.3,64.4,52.8,four,56,4500,38,47,7788
toyota,gas,four,sedan,front,166.3,64.4,53.0,four,70,4800,38,47,7738
toyota,gas,four,hatchback,front,166.3,64.4,52.8,four,70,4800,28,34,8358
toyota,gas,four,sedan,front,166.3,64.4,52.8,four,70,4800,28,34,9258
toyota,gas,two,sedan,front,168.7,64.0,52.6,four,70,4800,29,34,8058
toyota,gas,two,hatchback,front,168.7,64.0,52.6,four,70,4800,29,34,8238
toyota,gas,two,sedan,front,168.7,64.0,52.6,four,112,6600,26,29,9298
toyota,gas,two,hatchback,front,168.7,64.0,52.6,four,112,6600,26,29,9538
toyota,gas,two,hardtop,front,176.2,65.6,52.0,four,116,4800,24,30,8449
toyota,gas,two,hardtop,front,176.2,65.6,52.0,four,116,4800,24,30,9639
toyota,gas,two,hatchback,front,176.2,65.6,52.0,four,116,4800,24,30,9989
toyota,gas,two,hardtop,front,176.2,65.6,52.0,four,116,4800,24,30,11199
toyota,gas,two,hatchback,front,176.2,65.6,52.0,four,116,4800,24,30,11549
toyota,gas,two,convertible,front,176.2,65.6,53.0,four,116,4800,24,30,17669
toyota,gas,four,sedan,front,175.6,66.5,54.9,four,92,4200,29,34,8948
toyota,diesel,four,sedan,front,175.6,66.5,54.9,four,73,4500,30,33,10698
toyota,gas,four,hatchback,front,175.6,66.5,53.9,four,92,4200,27,32,9988
toyota,gas,four,sedan,front,175.6,66.5,54.9,four,92,4200,27,32,10898
toyota,gas,four,hatchback,front,175.6,66.5,53.9,four,92,4200,27,32,11248
toyota,gas,two,hatchback,front,183.5,67.7,52.0,six,161,5200,20,24,16558
toyota,gas,two,hatchback,front,183.5,67.7,52.0,six,161,5200,19,24,15998
toyota,gas,four,sedan,front,187.8,66.5,54.1,six,156,5200,20,24,15690
toyota,gas,four,wagon,front,187.8,66.5,54.1,six,156,5200,19,24,15750
volkswagen,diesel,two,sedan,front,171.7,65.5,55.7,four,52,4800,37,46,7775
volkswagen,gas,two,sedan,front,171.7,65.5,55.7,four,85,5250,27,34,7975
volkswagen,diesel,four,sedan,front,171.7,65.5,55.7,four,52,4800,37,46,7995
volkswagen,gas,four,sedan,front,171.7,65.5,55.7,four,85,5250,27,34,8195
volkswagen,gas,four,sedan,front,171.7,65.5,55.7,four,85,5250,27,34,8495
volkswagen,diesel,four,sedan,front,171.7,65.5,55.7,four,68,4500,37,42,9495
volkswagen,gas,four,sedan,front,171.7,65.5,55.7,four,100,5500,26,32,9995
volkswagen,gas,two,convertible,front,159.3,64.2,55.6,four,90,5500,24,29,11595
volkswagen,gas,two,hatchback,front,165.7,64.0,51.4,four,90,5500,24,29,9980
volkswagen,gas,four,sedan,front,180.2,66.9,55.1,five,110,5500,19,24,13295
volkswagen,diesel,four,sedan,front,180.2,66.9,55.1,four,68,4500,33,38,13845
volkswagen,gas,four,wagon,front,183.1,66.9,55.1,four,88,5500,25,31,12290
volvo,gas,four,sedan,front,188.8,67.2,56.2,four,114,5400,23,28,12940
volvo,gas,four,wagon,front,188.8,67.2,57.5,four,114,5400,23,28,13415
volvo,gas,four,sedan,front,188.8,67.2,56.2,four,114,5400,24,28,15985
volvo,gas,four,wagon,front,188.8,67.2,57.5,four,114,5400,24,28,16515
volvo,gas,four,sedan,front,188.8,67.2,56.2,four,162,5100,17,22,18420
volvo,gas,four,wagon,front,188.8,67.2,57.5,four,162,5100,17,22,18950
volvo,gas,four,sedan,front,188.8,68.9,55.5,four,114,5400,23,28,16845
volvo,gas,four,sedan,front,188.8,68.8,55.5,four,160,5300,19,25,19045
volvo,gas,four,sedan,front,188.8,68.9,55.5,six,134,5500,18,23,21485
volvo,diesel,four,sedan,front,188.8,68.9,55.5,six,106,4800,26,27,22470
volvo,gas,four,sedan,front,188.8,68.9,55.5,four,114,5400,19,25,22625
