Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-0.34,-0.5,-0.23,-0.29,-0.05,-0.15,-0.17,-0.25,-0.22,-0.3,-0.42,-0.39
1881,-0.3,-0.21,-0.03,0.01,0.04,-0.32,0.09,-0.03,-0.25,-0.42,-0.35,-0.22
1882,0.28,0.23,0.03,-0.3,-0.24,-0.28,-0.26,-0.13,-0.23,-0.51,-0.31,-0.67
1883,-0.56,-0.64,-0.14,-0.29,-0.24,-0.1,-0.04,-0.21,-0.32,-0.15,-0.44,-0.14
1884,-0.16,-0.11,-0.63,-0.59,-0.36,-0.4,-0.44,-0.49,-0.44,-0.43,-0.55,-0.46
1885,-0.99,-0.43,-0.21,-0.47,-0.56,-0.42,-0.31,-0.37,-0.36,-0.33,-0.35,-0.08
1886,-0.71,-0.8,-0.69,-0.34,-0.3,-0.34,-0.11,-0.4,-0.3,-0.28,-0.37,-0.18
1887,-1.05,-0.67,-0.41,-0.35,-0.22,-0.18,-0.21,-0.51,-0.18,-0.46,-0.24,-0.41
1888,-0.46,-0.57,-0.6,-0.18,-0.13,0.0,0.03,-0.18,-0.17,0.0,0.03,-0.22
1889,-0.25,0.33,0.0,0.18,-0.01,-0.05,-0.06,-0.18,-0.28,-0.39,-0.6,-0.53
1890,-0.62,-0.58,-0.46,-0.22,-0.34,-0.14,-0.21,-0.37,-0.33,-0.08,-0.62,-0.44
1891,-0.44,-0.67,-0.14,-0.33,-0.13,-0.1,-0.1,-0.11,-0.06,-0.26,-0.51,-0.02
1892,-0.47,-0.13,-0.65,-0.43,-0.22,-0.04,-0.36,-0.31,-0.17,-0.26,-0.8,-0.64
1893,-1.49,-0.94,-0.3,-0.28,-0.43,-0.18,-0.13,-0.32,-0.27,-0.27,-0.33,-0.61
1894,-0.89,-0.4,-0.19,-0.52,-0.24,-0.39,-0.19,-0.25,-0.31,-0.25,-0.46,-0.33
1895,-0.67,-0.78,-0.47,-0.16,-0.28,-0.18,-0.16,-0.25,-0.03,-0.06,-0.1,-0.2
1896,-0.33,-0.16,-0.47,-0.58,-0.15,0.1,0.02,-0.09,-0.11,0.08,-0.18,-0.19
1897,-0.37,-0.39,-0.37,-0.03,0.16,-0.04,0.06,-0.05,-0.04,-0.12,-0.24,-0.26
1898,0.09,-0.41,-0.76,-0.25,-0.24,-0.05,-0.09,-0.13,-0.14,-0.34,-0.48,-0.24
1899,-0.11,-0.63,-0.57,-0.22,-0.23,-0.34,-0.15,-0.04,-0.03,0.06,0.38,-0.44
1900,-0.59,-0.11,0.08,-0.08,-0.01,-0.07,-0.09,-0.06,0.0,0.26,-0.1,0.0
1901,-0.32,-0.08,0.29,0.13,-0.1,0.03,0.03,-0.14,-0.25,-0.29,-0.2,-0.39
1902,-0.16,0.02,-0.39,-0.38,-0.38,-0.36,-0.32,-0.27,-0.33,-0.29,-0.45,-0.59
1903,-0.21,0.12,-0.14,-0.45,-0.42,-0.44,-0.43,-0.54,-0.48,-0.48,-0.41,-0.56
1904,-0.77,-0.59,-0.39,-0.49,-0.42,-0.47,-0.58,-0.52,-0.62,-0.37,-0.07,-0.33
1905,-0.4,-0.81,-0.22,-0.44,-0.28,-0.26,-0.21,-0.22,-0.18,-0.25,0.1,-0.16
1906,-0.55,-0.52,-0.19,0.05,-0.23,-0.11,-0.25,-0.16,-0.23,-0.17,-0.39,0.04
1907,-0.58,-0.72,-0.3,-0.45,-0.57,-0.5,-0.39,-0.37,-0.39,-0.18,-0.55,-0.57
1908,-0.54,-0.27,-0.69,-0.48,-0.29,-0.29,-0.35,-0.56,-0.31,-0.45,-0.62,-0.55
1909,-0.92,-0.45,-0.66,-0.65,-0.48,-0.5,-0.44,-0.34,-0.37,-0.33,-0.1,-0.57
1910,-0.34,-0.39,-0.49,-0.4,-0.3,-0.45,-0.38,-0.4,-0.42,-0.31,-0.58,-0.81
1911,-0.71,-0.6,-0.65,-0.46,-0.45,-0.33,-0.36,-0.43,-0.38,-0.19,-0.19,-0.29
1912,-0.35,-0.16,-0.6,-0.16,-0.12,-0.13,-0.51,-0.77,-0.81,-0.85,-0.5,-0.57
1913,-0.56,-0.64,-0.48,-0.5,-0.54,-0.49,-0.51,-0.46,-0.42,-0.39,-0.14,0.11
1914,0.17,-0.11,-0.35,-0.39,-0.19,-0.23,-0.34,-0.26,-0.3,0.0,-0.21,-0.04
1915,-0.26,-0.09,-0.24,0.07,-0.01,-0.12,-0.09,-0.16,-0.21,-0.27,-0.03,-0.25
1916,-0.09,-0.16,-0.38,-0.34,-0.36,-0.5,-0.34,-0.37,-0.49,-0.35,-0.47,-1.14
1917,-0.54,-0.69,-0.75,-0.64,-0.73,-0.49,-0.32,-0.4,-0.31,-0.62,-0.31,-1.05
1918,-0.69,-0.46,-0.25,-0.59,-0.49,-0.45,-0.34,-0.37,-0.26,-0.04,-0.22,-0.56
1919,-0.38,-0.42,-0.38,-0.24,-0.43,-0.39,-0.33,-0.3,-0.19,-0.08,-0.47,-0.55
1920,-0.15,-0.3,0.0,-0.21,-0.21,-0.25,-0.25,-0.32,-0.35,-0.4,-0.45,-0.72
1921,0.19,-0.09,-0.12,-0.17,-0.25,-0.15,-0.03,-0.29,-0.17,0.0,-0.09,-0.13
1922,-0.37,-0.62,-0.1,-0.16,-0.19,-0.15,-0.28,-0.36,-0.43,-0.32,-0.13,-0.14
1923,-0.18,-0.47,-0.39,-0.52,-0.39,-0.24,-0.29,-0.27,-0.17,0.07,0.16,0.1
1924,-0.29,-0.21,0.03,-0.28,-0.06,-0.19,-0.22,-0.26,-0.22,-0.24,0.1,-0.36
1925,-0.29,-0.39,-0.23,-0.16,-0.22,-0.25,-0.25,-0.18,-0.05,-0.08,0.22,0.22
1926,0.53,0.19,0.37,-0.12,-0.23,-0.2,-0.2,-0.05,-0.02,0.07,0.17,-0.29
1927,-0.29,-0.08,-0.47,-0.27,-0.12,-0.13,-0.08,-0.16,0.03,0.25,0.1,-0.37
1928,0.27,0.09,-0.23,-0.31,-0.17,-0.31,-0.1,-0.19,-0.16,-0.08,0.06,-0.03
1929,-0.56,-0.8,-0.19,-0.35,-0.28,-0.39,-0.35,-0.19,-0.2,-0.01,-0.02,-0.65
1930,-0.11,-0.2,0.11,-0.16,-0.2,-0.11,-0.03,0.02,-0.01,0.02,0.45,0.08
1931,0.02,-0.22,-0.05,-0.19,-0.14,0.15,0.08,0.09,0.17,0.36,0.26,0.1
1932,0.38,-0.19,-0.2,0.11,-0.09,-0.14,-0.14,-0.07,0.11,0.15,-0.32,-0.2
1933,-0.19,-0.29,-0.31,-0.16,-0.26,-0.31,-0.13,-0.14,-0.27,-0.17,-0.24,-0.54
1934,-0.15,0.33,-0.27,-0.29,0.08,-0.01,-0.03,-0.09,-0.14,0.13,0.27,0.18
1935,-0.39,0.56,0.03,-0.35,-0.29,-0.15,-0.04,-0.06,-0.06,0.12,-0.32,-0.17
1936,-0.29,-0.51,-0.13,-0.06,-0.01,0.04,0.09,0.03,0.07,0.07,0.14,0.14
1937,0.09,0.24,-0.23,-0.07,0.13,0.15,0.15,0.16,0.29,0.33,0.25,0.0
1938,0.35,0.28,0.34,0.31,0.03,-0.07,-0.02,0.08,0.15,0.32,0.3,-0.14
1939,0.02,-0.02,-0.24,-0.07,0.01,0.0,0.05,0.08,0.12,0.08,0.24,0.79
1940,-0.11,0.14,0.04,0.28,0.16,0.16,0.15,0.07,0.27,0.29,0.3,0.36
1941,0.18,0.47,0.11,0.12,0.23,0.21,0.24,0.19,0.1,0.5,0.18,0.19
1942,0.41,-0.08,-0.01,0.09,0.16,0.1,-0.01,-0.08,0.11,0.28,0.26,0.27
1943,-0.1,0.37,-0.01,0.3,0.23,-0.07,-0.02,0.1,0.14,0.46,0.36,0.37
1944,0.62,0.43,0.31,0.18,0.23,0.17,0.14,0.16,0.35,0.44,0.19,-0.02
1945,0.1,-0.07,0.08,0.28,0.07,0.07,0.06,0.28,0.2,0.24,0.08,-0.21
1946,0.34,0.09,0.12,0.31,0.03,-0.06,-0.04,-0.1,-0.04,0.02,0.07,-0.46
1947,-0.05,-0.04,0.28,0.22,0.06,0.0,-0.04,-0.05,-0.02,0.4,0.19,-0.05
1948,0.31,-0.15,-0.28,-0.03,0.17,0.04,0.01,0.02,-0.03,0.08,0.03,-0.4
1949,0.22,-0.1,0.04,-0.03,0.0,-0.2,-0.12,-0.05,-0.1,0.07,0.05,-0.14
1950,-0.29,-0.27,0.05,-0.22,-0.05,-0.07,-0.19,-0.2,-0.09,-0.06,-0.33,-0.13
1951,-0.36,-0.52,-0.18,0.07,0.17,-0.02,0.08,0.22,0.33,0.29,0.08,0.38
1952,0.17,0.17,-0.22,0.17,0.15,0.15,0.13,0.07,0.14,-0.01,-0.21,0.01
1953,0.24,0.37,0.25,0.41,0.24,0.25,0.21,0.18,0.17,0.27,0.08,0.22
1954,-0.24,0.0,-0.17,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11
1955,0.42,-0.12,-0.43,-0.24,-0.13,-0.1,-0.05,0.06,-0.02,0.12,-0.34,-0.28
1956,-0.04,-0.32,-0.23,-0.26,-0.3,-0.2,-0.2,-0.28,-0.32,-0.28,-0.25,-0.1
1957,-0.14,-0.05,-0.1,-0.09,-0.06,0.12,0.11,0.16,0.12,0.06,0.12,0.24
1958,0.68,0.28,0.16,0.02,0.12,0.05,0.05,0.13,0.07,0.08,0.03,0.18
1959,0.24,0.16,0.33,0.22,0.04,0.14,0.05,0.09,0.13,-0.04,0.02,0.09
1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.39
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.03,-0.04,0.07,-0.17
1962,0.28,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1
1963,0.07,0.49,-0.12,0.04,-0.04,-0.04,0.1,0.14,0.13,0.42,0.43,0.02
1964,-0.05,-0.03,-0.32,-0.3,-0.1,-0.09,-0.13,-0.24,-0.28,-0.32,-0.22,-0.27
1965,-0.02,-0.37,-0.1,-0.26,-0.14,-0.2,-0.18,-0.2,-0.2,-0.02,0.04,-0.08
1966,-0.25,0.03,0.0,-0.22,-0.05,0.06,0.11,0.14,0.06,-0.1,0.02,-0.03
1967,-0.18,-0.37,0.23,0.05,0.21,-0.06,0.04,0.06,-0.03,0.29,0.04,0.02
1968,-0.29,-0.16,0.44,0.0,-0.06,-0.04,-0.08,-0.08,-0.05,-0.01,-0.22,-0.33
1969,-0.43,-0.46,-0.2,0.03,0.11,-0.04,0.06,0.05,0.04,0.03,0.15,0.3
1970,-0.02,0.27,-0.07,-0.02,-0.01,0.01,-0.04,-0.05,-0.05,-0.2,0.01,-0.31
1971,-0.14,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.02,-0.14
1972,-0.54,-0.52,0.01,-0.11,-0.15,-0.09,-0.05,-0.08,-0.26,-0.04,-0.19,-0.04
1973,0.16,0.44,0.32,0.19,0.09,0.17,0.04,0.03,-0.08,-0.07,-0.1,-0.04
1974,-0.25,-0.35,0.03,-0.09,-0.19,-0.18,-0.12,-0.11,-0.16,-0.23,-0.2,-0.27
1975,0.16,0.09,0.1,0.05,-0.02,-0.08,-0.06,-0.13,-0.07,-0.18,-0.3,-0.22
1976,0.05,-0.12,-0.31,0.02,-0.26,-0.2,-0.26,-0.21,-0.12,-0.51,-0.31,-0.25
1977,-0.16,0.11,0.27,0.25,0.23,0.23,0.08,0.02,0.13,-0.02,0.27,0.02
1978,0.16,0.04,0.21,0.07,-0.06,-0.14,-0.07,-0.14,-0.01,0.0,0.16,0.02
1979,-0.05,-0.35,0.18,-0.17,0.01,0.08,0.05,0.04,0.19,0.23,0.24,0.55
1980,0.21,0.41,0.07,0.15,0.26,0.19,0.14,0.09,0.1,0.11,0.2,0.09
1981,0.79,0.63,0.67,0.39,0.18,0.28,0.09,0.16,0.14,0.23,0.35,0.54
1982,-0.14,0.16,0.06,0.17,0.09,0.01,0.04,-0.07,0.06,0.0,-0.11,0.38
1983,0.55,0.35,0.42,0.07,0.05,0.11,0.2,0.25,0.26,0.12,0.49,0.11
1984,0.33,0.02,0.18,-0.07,0.23,0.09,0.09,0.06,-0.04,0.09,-0.1,-0.42
1985,0.07,-0.29,0.0,-0.03,0.09,0.0,-0.08,-0.02,0.03,0.02,0.03,0.16
1986,0.36,0.31,0.26,0.15,0.2,0.14,-0.02,0.04,-0.02,0.09,0.04,0.06
1987,0.25,0.5,0.0,0.07,0.23,0.16,0.25,0.27,0.39,0.22,0.1,0.51
1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.43
1989,0.08,0.39,0.45,0.32,0.22,0.24,0.31,0.25,0.24,0.25,0.12,0.33
1990,0.47,0.54,1.16,0.7,0.5,0.48,0.32,0.41,0.42,0.48,0.46,0.38
1991,0.59,0.57,0.45,0.56,0.33,0.47,0.42,0.35,0.35,0.29,0.33,0.2
1992,0.61,0.5,0.54,0.15,0.18,0.04,-0.1,-0.07,-0.18,-0.18,-0.09,0.21
1993,0.39,0.52,0.39,0.23,0.32,0.22,0.12,0.02,-0.06,0.12,-0.21,0.22
1994,0.33,-0.04,0.49,0.48,0.39,0.41,0.33,0.32,0.33,0.54,0.51,0.36
1995,0.75,1.19,0.59,0.71,0.41,0.5,0.37,0.53,0.43,0.6,0.57,0.27
1996,0.26,0.55,0.32,0.17,0.35,0.25,0.29,0.18,0.04,0.05,0.35,0.34
1997,0.34,0.6,0.74,0.49,0.42,0.49,0.41,0.48,0.51,0.63,0.59,0.5
1998,0.62,1.04,0.71,0.87,0.66,0.73,0.75,0.72,0.61,0.54,0.49,0.74
1999,0.59,1.0,0.29,0.54,0.36,0.35,0.36,0.3,0.4,0.39,0.53,0.66
2000,0.38,0.89,0.83,0.88,0.54,0.44,0.42,0.47,0.37,0.29,0.2,0.27
2001,0.56,0.45,0.76,0.6,0.69,0.52,0.64,0.68,0.56,0.6,0.98,0.66
2002,1.02,1.14,1.11,0.51,0.52,0.68,0.66,0.55,0.62,0.54,0.79,0.42
2003,0.93,0.56,0.67,0.61,0.72,0.54,0.68,0.86,0.78,0.99,0.66,0.99
2004,0.67,0.92,0.87,0.7,0.52,0.47,0.49,0.55,0.6,0.7,0.99,0.45
2005,0.94,0.72,0.94,0.92,0.78,0.79,0.75,0.69,0.9,0.95,1.06,0.84
2006,0.65,0.95,0.78,0.59,0.75,0.81,0.69,0.69,0.82,0.96,0.95,1.16
2007,1.45,0.9,0.96,1.07,0.72,0.65,0.66,0.73,0.67,0.84,0.82,0.77
2008,0.34,0.59,1.14,0.65,0.6,0.62,0.6,0.6,0.58,0.86,0.97,0.66
2009,0.83,0.7,0.6,0.7,0.66,0.68,0.68,0.72,0.85,0.79,0.85,0.67
2010,0.81,0.94,1.1,1.13,0.94,0.85,0.89,0.87,0.71,0.89,1.21,0.5
2011,0.61,0.57,0.88,0.85,0.66,0.76,0.73,0.71,0.74,0.91,0.66,0.88
2012,0.67,0.59,0.72,1.07,0.97,0.94,0.85,0.76,0.86,0.91,0.98,0.46
2013,0.86,0.79,0.81,0.68,0.78,0.77,0.7,0.73,0.7,0.83,1.13,0.83
2014,0.97,0.71,1.2,1.08,0.9,0.81,0.76,0.89,0.83,0.93,0.79,1.1
2015,1.19,1.18,1.32,1.03,1.04,1.05,0.92,1.01,1.16,1.29,1.37,1.53
2016,1.55,1.93,1.91,1.49,1.11,1.12,1.04,1.11,1.22,1.03,1.11,1.03
2017,1.39,1.5,1.51,1.2,0.92,0.93,0.96,1.01,1.0,1.05,1.23,1.4
2018,1.14,1.23,1.18,0.97,1.01,0.86,0.9,0.86,0.96,1.23,0.98,1.09
